id,company_name,website,status,notes
3,1 Vape Wholesale LLC,https://www.1vapewholesale.com/?srsltid=AfmBOoqY0Sx9Z51PTzY_OJhhL-K-bIh_qOtvzfv9iPdn1W5fYTXBX37u,Do not contact - international,Notes: Based in australia; Sources: 11.15 Similar to Master G
9,7 daze,,Do not contact - international,Notes: Seems to be a manufacturer. Based in Canada; Sources: 11.15 Similar to Master G
23,AAA Wholesale,https://aaawholesale.com/,Dan - Prioritize,Notes: Ali - This is really good lead; Sources: Jan 2026
708,[Mobile] (718) 617-5500,,,Sources: Jan 2026
720,[Name] Sultana,,,Notes: Diego called me back - is going to email me a catalog.; Sources: Jan 2026
31,ABR Wholesalers,https://abrwholesalers.com/,Dan - Prioritize,Notes: Too robust; Sources: 11.15 Similar to Master G
734,[Nickname] ext 153 person name diego,,,Sources: Jan 2026
34,ACC Wholesale,https://www.accwholesale.net/,Dan - Prioritize,Sources: 11.15 Similar to Master G
38,Action Wholesale Products,https://actionwp.com/,Dan - Prioritize,Notes: Too robust; Sources: 11.15 Similar to Master G
39,Active Distributors,https://active-distro.com/,Dan - Prioritize,Notes: Customer login portal.; Sources: 11.15 Similar to Master G
1,#1 Wholesale,https://1wholesale.com/,,"Notes: Customer login portal.; Address: 2210 Ronald Reagan Blvd, Cumming GA 30041; Sources: 11.15 Similar to Master G, Letters, Outreach"
4,143 Story,143story.com,,Address: Los Angeles Metropolitan Area; Sources: Clay Batch
5,1SourceVideo,1sourcevideo.com,,"Address: Los Angeles, California, United States; Sources: Clay Batch"
7,26 Californa Wholesale,http://www.26californiawholesale.com/index.htm,,"Notes: Website laggy

Attending ASD; Address: 2845 E 26th St, Vernon, California, 90058, United States; Sources: 11.15 Similar to Master G, Letters"
10,"7 Global Distribution, Inc.",https://7globaldistribution.com/,,"Notes: terry(cassandra); Address: 6525 S. Bruce Street, Las Vegas, NV 89119; Sources: 11.15 Similar to Master G, Letters, Outreach"
12,8FD Designs,8fddesigns.com,,Address: Dallas-Fort Worth Metroplex; Sources: Clay Batch
60,Allan S. Goodman Inc,,Dan - Prioritize,Sources: 11.15 Similar to Master G
61,Allen Brothers Wholesale,https://www.allenbrothers.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
63,All-In-All Wholesale,https://www.allinallwholesaleus.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
13,A and B Wholesale,aandbwholesale.com,,"Address: Greater Chicago Area, United States; Sources: Clay Batch"
15,A Finishing Touch,afinishingtouch.com,,"Address: Houston, Texas, United States; Sources: Clay Batch"
27,A.Bassa & Sons CC Wholesale Merchants,abassa.co.za,,"Address: Dallas, Texas, United States; Sources: Clay Batch"
67,Alpine Net Corporation,,Dan - Prioritize,Sources: 11.15 Similar to Master G
69,AmChar Wholesale Inc,https://www.amchar.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
70,AMCON Distributing Company,,Dan - Prioritize,Sources: 11.15 Similar to Master G
19,A1 wholesale,https://a1wholesaleusa.com/,,Notes: Website doesn't seem to work; Sources: 11.15 Similar to Master G
21,AA distribution Inc,No,,"Address: 120 Orchard St, Newark, NJ 07102; Sources: 11.15 Similar to Master G, Letters"
22,AA Rachminov Diamonds,aarachminov.com,,"Address: New York, New York, United States; Sources: Clay Batch"
80,Andalusia Distributing Co. (ADC),,Dan - Prioritize,Sources: 11.15 Similar to Master G
81,Anichini Brothers Wholesale,https://anichinibrothers.com/,Dan - Prioritize,Revenue: 0.0; Sources: First Campaign
24,AAA Wholesale,,Delete - Duplicate of contact CO-0023,Sources: Outreach
26,Abacus Distributing,https://abacusdistributing.com/our-portfolio/blank/,,"Address: 60 Mill St, Southbridge, MA 01550; Sources: 11.15 Similar to Master G, Letters"
85,Art of Glass (AOG) Wholesale Inc,https://aogwholesale.com/product/sample-product/tsunami-100mm-grinder/,Dan - Prioritize,"Address: 50 French Rd.
Cheektowaga, NY 14227; Sources: 11.15 Similar to Master G"
28,ABC Distributors,https://abcdistributors.us/,,"Notes: Customer login portal.; Address: 2198 Reeves Rd, Plainfield, IN 46168; Sources: 11.15 Similar to Master G, Letters"
29,ABC Products,,,"Notes: Customer login portal.; Address: 100 Patco Ct #3, Islandia, NY 11749, United States; Sources: 11.15 Similar to Master G, Letters, Outreach"
89,APS Distributors,https://www.apscigars.com/,Dan - Prioritize,"Address: 1501 Green Road, Suite A Deerfield Beach, Florida 33064; Sources: 11.15 Similar to Master G"
91,AR Distributions Inc,,Do not contact - Could not find,Sources: 11.15 Similar to Master G
30,ABL Wholesale Distributors,https://ablwholesale.com/,,"Notes: Basic website, got a phishing scam when I entered it. Left voicemail 2/18; Address: 44488 OH-14, Columbiana, OH 44408; Sources: 11.15 Similar to Master G, Letters"
32,Absolutely Lingerie Inc.,absolutelylingerieinc.com,,"Address: Los Angeles, California, United States; Sources: Clay Batch"
33,AC Jolly Chef Equipment,https://www.allbiz.com/business/a-c-jolly-chef-equipment-co,Do not contact - Out of Business,"Address: Lawrence, MA; Industry: Restaurant Supply & Equipment; Sources: Associates First Lists"
35,ACCESSORIES DIRECT INTERNATIONAL USA INC.,adilus.com,,"Address: New York, New York, United States; Sources: Clay Batch"
36,Accredited Lock Supply,acclock.com,,"Address: New York City Metropolitan Area, United States; Sources: Clay Batch"
40,Aden Brook,adenbrook.com,,"Address: New York City Metropolitan Area, United States; Sources: Clay Batch"
42,Advantage Electronics Wire & Cable,advantageelectronics.net,,"Address: Atlanta, Georgia, United States; Sources: Clay Batch"
43,Affordable Wipers,affordablewipers.com,,"Address: Houston, Texas, United States; Sources: Clay Batch"
109,ASK Wholesalers and Distribution,https://askwholesalers.com/,Dan - Prioritize,Online Ordering: Website Broken; Sources: 11.15 Similar to Master G
45,Aicolux Lighting,aicolux.com,,"Address: Los Angeles, California, United States; Sources: Clay Batch"
46,"AIDP, Inc",aidp.com,,"Address: Los Angeles Metropolitan Area, United States; Sources: Clay Batch"
48,AKWHOLESALE@GMAIL.COM,,Do not contact - Duplicate contact,Notes: send them confident email. | Information brought to  CO-1043; Sources: Jan 2026
52,"Alcon Lighting, Inc.",alconlighting.com,,Address: Los Angeles Metropolitan Area; Sources: Clay Batch
55,ALHAMRAH CORPORATION,https://alhamrah.com/,,"Notes: Decision maker:
1- Waqas Aslam
https://www.linkedin.com/in/waqas-aslam-567b6b176/

2- Sara Aslam
https://www.linkedin.com/in/sara-aslam/; Sources: Jan 2026"
57,all food and candy inc,,Do not contact - Out of Business,Sources: 11.15 Similar to Master G
59,All Star Dogs,allstardogs.com,,"Address: New York City Metropolitan Area, United States; Sources: Clay Batch"
62,Alliance Paper & Foodservice Equipment,https://alliancepfs.com/62513-2/,,"Address: 1345 S. Ashland Ave, Chicago, IL; Industry: Restaurant Supplies; Revenue: 17000000.0; Employees: 22.0; Year Founded: 1956.0; Online Ordering: Website is in ""maintenance mode""; Sources: First Campaign, Letters"
64,Allston Supply,Imperial Dade | Food Packaging Supplies | Commercial Cleaning Supplies,,"Notes: Website jumps to Imperial Dade; Address: Springfield, MA; Industry: Janitorial & Facility Supply; Sources: Associates First Lists"
65,"Aloevine Organics, Organic No Pulp Aloe Vera Drink Supplier",,,Sources: 11.15 Similar to Master G
66,alojah distribution,,Do not contact - Cannot find,Sources: 11.15 Similar to Master G
71,American Cash and Carry wholesale,,Dan - Prioritize,Sources: 11.15 Similar to Master G
72,American Fire Products,americanfireproducts.com,,"Address: Los Angeles, California, United States; Sources: Clay Batch"
74,AMERICAN GRINDING & MACHINE COMPANY,https://www.americangrinding.com/interstate-abrasive/,,"Address: 2000 North Mango Avenue
Chicago, Illinois 60639-2899; Industry: Abrasives; Revenue: 10000000.0; Employees: 15.0; Year Founded: 1941.0; Sources: First Campaign, Letters"
75,American Industrial Supply,ameind.com,,"Address: New York, New York, United States; Sources: Clay Batch"
77,American Rubber Products,americanrubberproducts.com,,Address: Los Angeles Metropolitan Area; Sources: Clay Batch
82,Ammar Wholesale Tobacco Candy Incorporated,,Dan - Prioritize,"Address: 6925 3rd Ave Brooklyn, NY 11209; Sources: 11.15 Similar to Master G"
79,anc distributors,,Do not contact - Cannot find,Notes: Could not find; Sources: 11.15 Similar to Master G
84,Antique Drapery Rod Company,antiquedraperyrod.com,,"Address: Dallas, Texas, United States; Sources: Clay Batch"
165,Bi-Lo Distributors,https://www.biloltd.net/,Dan - Prioritize,"Address: 5 Hub Dr, Melville, NY 11747; Sources: 11.15 Similar to Master G"
100,AOG Wholesale,,Dan - Prioritize,Sources: 11.15 Similar to Master G
168,Biohazard,https://biohazardinc.com/,Dan - Prioritize,"Address: 6019 Randolph St, Commerce, CA 90040; Sources: 11.15 Similar to Master G"
171,Blair Candy Company inc,https://blaircandy.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
86,AP Sign Group,apsigngroup.com,,"Address: Indianapolis, Indiana, United States; Sources: Clay Batch"
177,Blue Sky Distributing,https://www.blueskysales.com/,Dan - Prioritize,"Address: 8724 Alameda Drive #F, Albuquerque, NM 87113; Sources: 11.15 Similar to Master G"
87,Apex Trading,apextrading.com,,"Address: New York, New York, United States; Sources: Clay Batch"
184,Boston Showcase Company,Boston Showcase Company,,"Notes: Founded 1913, 6000sq ft showroom, tabletop items; Address: Highlands & Brockton MA; Industry: Restaurant Supply & Equipment; Sources: Associates First Lists"
88,"App Wholesale, LLC",https://www.app-wholesale.com/,,"Address: 3686 E Olympic Blvd, Los Angeles, CA 90023; Sources: 11.15 Similar to Master G, Letters"
190,C T Brigham Co Inc,https://www.app-wholesale.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
90,aquabeve,aquabeve.com,,Address: New York City Metropolitan Area; Sources: Clay Batch
192,Avico Distributing Inc,https://avicospice.com/,Dan - Prioritize,"Address: 729 Broad St, Utica, NY, United States, New York; Sources: 11.15 Similar to Master G"
194,Bronx Trading Co,https://bronxtradingwholesale.com/,Dan - Prioritize,"Address: 1375 Seabury Ave, Bronx, NY 10461; Sources: 11.15 Similar to Master G"
207,Calmont Beverage Co.,https://www.calmontbeverage.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
92,"ARCADIAN, INC",arcantenna.com,,Address: New York City Metropolitan Area; Sources: Clay Batch
93,Arena Stone NJ,arenastonenj.com,,"Address: New York City Metropolitan Area, United States; Sources: Clay Batch"
94,Argentek,argentek.org,,"Address: New York City Metropolitan Area, United States; Sources: Clay Batch"
209,Candy Favorites,https://www.candyfavorites.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
95,Argo International Corporation,argointl.com,,"Address: New York, New York, United States; Sources: Clay Batch"
210,Candy King Wholesale,https://candykingwholesale.kyte.site/en,Dan - Prioritize,"Address: 514 NJ-27, Iselin, NJ 08830; Sources: 11.15 Similar to Master G"
96,Arizona Architectural Signage Group LLC,azasignsgegroup.com,,"Address: Richmond, Texas, United States; Sources: Clay Batch"
98,Aroma Workshop,aromaworkshop.com,Do not contact - Not our customer,"Address: Chicago, Illinois, United States; Sources: Clay Batch"
99,Arrow Sports Group,arrowsportsgroup.com,,"Address: Boston, Massachusetts, United States; Sources: Clay Batch"
101,Artisan 34,artisan34.com,,"Address: New York City Metropolitan Area, United States; Sources: Clay Batch"
102,Artisan Manufacturing,artisansinks.com,,"Address: Newark, New Jersey, United States; Sources: Clay Batch"
215,Capital Candy Co. Inc.,https://capitalcandy.com/,Dan - Prioritize,"Address: 32 Burnham St. - Barre, VT 05641; Sources: 11.15 Similar to Master G"
104,Asad Wholesale Inc,,Duplicate record with CO-0085,Sources: 11.15 Similar to Master G
105,Ashton Distributors Inc,https://www.ashtondistributors.com/,,"Address: 12270 Townsend Rd #1203, Philadelphia, PA 19154; Sources: 11.15 Similar to Master G, Letters"
216,Capital City Produce,https://www.capcityproduce.com/,Dan - Prioritize,"Address: 3 E Industrial Pkwy, Troy, NY 12180; Sources: 11.15 Similar to Master G"
106,Asian Food Market,https://www.asianfoodmarkets.com/,,"Notes: - About Company
      -Grocery chain specializing in asian products and groceries
       -Based in NJ(regional) with 6 locations 
       -DTC(direct to consumer) 
       -High SKU inventory 
       -Medium enterprise
        -Perishables and imported goods 
-Using WooCommerce on Wordpress
      -Don't think they got extra extensions or premium themes
      -Website is brief

PAIN POINTS: Pain Points 
- Not able to make online purchases through website
       -Link to instacart but it just goes to the website/app-not directly opening up asian food markets 
       -Could be more seamless
-No specific product listings
     -There's a sales tab but looks very brief 
      - Each link opens a new tab instead of navigating to a different area of website in one individual tab
      -Customers can’t tell what products are in stock directly online from each store 
             -Would have to call stores to find out
-Through “contact us” on site
     -No way to filter through messages; Sources: Associates Onboarding, First Campaign"
108,Asiana Food Market,https://jsci.github.io/final/about.html,Dan - Prioritize,"Address: 92 Warren Ave, East Providence, RI 02914; Industry: Korean/Japanese Grocery Store; Revenue: 5000000.0; Year Founded: 1990-2000; Sources: First Campaign"
218,Capitol Distributing,https://capitoldist.com/,Dan - Prioritize,"Address: 1920 S KCID Rd
Caldwell, ID 83605; Sources: 11.15 Similar to Master G"
219,Cardstock Warehouse Paper Company,https://www.cardstock-warehouse.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
111,Astro Plumbing Supply Company,astroplumbingsupply.com,,Address: Los Angeles Metropolitan Area; Sources: Clay Batch
222,Carytown Tobacco Inc.,,Dan - Prioritize,Sources: 11.15 Similar to Master G
225,Cash & Carry Alcohol,https://cashandcarryalcohol.com,Dan - Prioritize,"Address: 504 Meeker Ave, Brooklyn, NY 11222; Sources: 11.15 Similar to Master G"
112,"Athalon Sportgear, Inc.",athalonsportgear.com,,"Address: New York City Metropolitan Area, United States; Sources: Clay Batch"
113,ATI Accurate Technology Inc,igbts.us,,"Address: Los Angeles, California, United States; Sources: Clay Batch"
114,Atlantic Beverage Co Inc,,Do not contact - Permanently closed,Sources: 11.15 Similar to Master G
116,Atlas Distributing Inc,,Dan - Prioritize,"Address: 44 Southbridge St, Auburn, MA 01501; Sources: 11.15 Similar to Master G"
117,Aurora Corp. of America,,,Address: Los Angeles Metropolitan Area; Sources: Clay Batch
118,"AVI NATIONWIDE WHOLESALE, INC.",avinationwide.com,,"Address: Los Angeles, California, United States; Sources: Clay Batch"
120,AW Marshall Co,https://awmarshall.com/,Dan - Prioritize,"Notes: Customer login portal.; Address: 437 N 500 W, Salt Lake City, UT 84116; Sources: 11.15 Similar to Master G"
233,Cassavona Meats,https://casanovameatswholesale.com/,Dan - Prioritize,Sources: 11.15 Similar to Master G
121,Azusa Safety,azusasafety.com,,Address: Los Angeles Metropolitan Area; Sources: Clay Batch
122,B and B sales inc,,Dan - Prioritize,Sources: 11.15 Similar to Master G
162,B.I.G. Jewelry Co LLC,big-jewelry.com,,"Address: New York, New York, United States; Sources: Clay Batch"
125,B2B Supply,,Dan - Prioritize,Sources: 11.15 Similar to Master G
126,Baba Distributor,,Dan - Prioritize,"Address: 512 NJ-27, Iselin, NJ 08830; Sources: 11.15 Similar to Master G"
127,Babco Foods International,,Kaitlyn - Prioritize,"Notes: Reach out to Ken Vaz or Jean (Vaz) Gerencser; Address: 238 Saint Nicholas Ave, South Plainfield, NJ 07080; Sources: 11.15 Similar to Master G"
128,Baker Distributing Corporation,,Dan - Prioritize,Sources: 11.15 Similar to Master G
129,Balec Group,balecgroup.com,,"Address: Los Angeles, California, United States; Sources: Clay Batch"
130,Balmtimore Beverage,,Dan - Prioritize,Sources: 11.15 Similar to Master G
132,Banner Service,https://bargrind.com/,Dan - Prioritize,"Address: 494 East Lies Rd.
Carol Stream, IL 60188; Industry: Raw metals; Employees: 30.0; Year Founded: 1961.0; Sources: First Campaign"
133,"Banner Systems, Inc.",bannersystemsma.com,,Address: Greater Boston; Sources: Clay Batch
136,BargainMax Inc.,,Dan - Prioritize,Sources: 11.15 Similar to Master G
138,Basic Sportswear Corp.,lifeauthentics.com,,"Address: New York, New York, United States; Sources: Clay Batch"
140,Bayside Metal Exchange,baysidegold.com,,"Address: Los Angeles, California, United States; Sources: Clay Batch"
141,BCV wholesale,,Dan - Prioritize,Sources: 11.15 Similar to Master G
142,Beautera Professional,beauterapro.com,,"Address: Denver, Colorado, United States; Sources: Clay Batch"
143,Beauty Fashion Sales Group,beautyfashionsales.com,,"Address: New York, New York, United States; Sources: Clay Batch"
144,Bees Lighting,beeslighting.com,,"Address: Los Angeles County, California, United States; Sources: Clay Batch"
145,Belco Distributors,,Dan - Prioritize,Sources: 11.15 Similar to Master G
