id,name
1,100 Grand
2,Snickers
3,M&M's
4,Reese's
5,Kit Kat
6,Doritos
7,Lay's
8,Cheetos
9,Takis
10,Pringles
11,Red Bull
12,Monster Energy
13,Coca-Cola
14,Pepsi
15,Gatorade
16,Bic
17,Swisher Sweets
18,Dutch Masters
19,RAW
20,Juul
21,Colgate
22,Advil
23,Tylenol
24,Band-Aid
25,Chapstick
26,Hefty
27,Bounty
28,Scott
29,Dixie
30,Reynolds Wrap
31,Frito-Lay
32,Mars
33,Hershey's
34,Nestlé
35,General Mills
36,Jack Link's
37,Slim Jim
38,Haribo
39,Sour Patch Kids
40,Skittles
