id,product_id,location_id,supplier_id,lot_number,quantity,expiry_date,received_date
1,1,1,1,LOT-2026-0001,90,2026-10-22,2026-02-01
2,1,4,1,LOT-2025-0002,119,2026-10-28,2025-01-19
3,2,5,1,LOT-2025-0003,112,2026-04-26,2025-09-17
4,2,1,1,LOT-2025-0004,130,2026-10-09,2025-09-26
5,2,4,1,LOT-2025-0005,37,2026-06-20,2025-06-08
6,2,2,1,LOT-2025-0006,154,2025-07-18,2025-01-15
7,3,5,1,LOT-2025-0007,36,2026-02-22,2025-05-03
8,3,3,1,LOT-2025-0008,153,2027-03-24,2025-11-28
9,4,3,1,LOT-2026-0009,157,2027-01-09,2026-01-02
10,4,2,1,LOT-2025-0010,197,2026-05-13,2025-08-18
11,4,1,1,LOT-2025-0011,80,2026-08-13,2025-11-17
12,4,5,1,LOT-2025-0012,114,2027-05-29,2025-08-14
13,5,2,1,LOT-2026-0013,15,2027-03-29,2026-01-20
14,5,1,1,LOT-2025-0014,101,2027-02-04,2025-07-14
15,5,4,1,LOT-2025-0015,58,2026-07-13,2025-08-23
16,6,4,1,LOT-2025-0016,101,2026-12-01,2025-02-12
17,6,2,1,LOT-2025-0017,19,2027-01-17,2025-02-19
18,7,3,1,LOT-2025-0018,140,2026-07-15,2025-01-18
19,7,2,1,LOT-2025-0019,141,2027-02-05,2025-08-18
20,8,3,1,LOT-2025-0020,96,2026-07-07,2025-04-16
21,8,5,1,LOT-2025-0021,105,2026-01-31,2025-02-16
22,9,3,1,LOT-2025-0022,176,2027-01-11,2025-11-24
23,9,4,1,LOT-2025-0023,175,2025-10-24,2025-02-25
24,9,5,1,LOT-2025-0024,63,2025-10-16,2025-04-10
25,9,2,1,LOT-2025-0025,97,2026-01-13,2025-04-23
26,10,3,1,LOT-2025-0026,16,2026-10-25,2025-04-19
27,10,5,1,LOT-2025-0027,97,2027-07-11,2025-09-18
28,10,4,1,LOT-2025-0028,11,2027-01-15,2025-10-02
29,11,2,3,LOT-2025-0029,150,2027-02-28,2025-08-02
30,11,4,3,LOT-2026-0030,197,2027-03-11,2026-01-13
31,11,1,3,LOT-2025-0031,101,2027-02-11,2025-02-12
32,11,3,3,LOT-2025-0032,86,2025-12-05,2025-05-02
33,12,1,3,LOT-2025-0033,77,2026-10-24,2025-02-13
34,12,3,3,LOT-2025-0034,101,2026-12-28,2025-02-21
35,12,4,3,LOT-2025-0035,22,2026-12-15,2025-08-12
36,12,2,3,LOT-2026-0036,50,2026-09-03,2026-01-29
37,13,4,3,LOT-2025-0037,76,2026-05-23,2025-10-28
38,13,5,3,LOT-2025-0038,23,2027-03-09,2025-08-06
39,14,2,3,LOT-2025-0039,179,2026-03-24,2025-08-18
40,14,1,3,LOT-2025-0040,194,2026-11-13,2025-08-24
41,14,5,3,LOT-2025-0041,87,2026-06-20,2025-05-08
42,14,3,3,LOT-2025-0042,49,2027-07-04,2025-08-19
43,15,4,3,LOT-2025-0043,128,2027-03-31,2025-04-05
44,15,2,3,LOT-2025-0044,27,2027-07-06,2025-09-10
45,15,5,3,LOT-2025-0045,122,2026-02-10,2025-01-21
46,16,4,3,LOT-2026-0046,43,2026-09-28,2026-01-24
47,16,5,3,LOT-2026-0047,125,2027-10-31,2026-02-05
48,16,3,3,LOT-2025-0048,153,2026-08-29,2025-12-28
49,17,2,3,LOT-2025-0049,18,2027-08-14,2025-10-20
50,17,1,3,LOT-2025-0050,53,2025-11-14,2025-01-05
51,17,4,3,LOT-2025-0051,184,2026-12-15,2025-06-25
52,17,5,3,LOT-2025-0052,37,2027-08-15,2025-09-08
53,18,5,3,LOT-2026-0053,196,2027-10-16,2026-02-04
54,18,1,3,LOT-2025-0054,21,2026-09-20,2025-03-12
55,18,2,3,LOT-2025-0055,20,2026-05-17,2025-10-27
56,19,2,3,LOT-2025-0056,61,2026-01-21,2025-02-05
57,19,4,3,LOT-2025-0057,66,2027-04-12,2025-04-21
58,19,5,3,LOT-2025-0058,11,2026-03-19,2025-05-13
59,20,5,3,LOT-2025-0059,142,2026-12-29,2025-08-19
60,20,1,3,LOT-2025-0060,28,2026-07-01,2025-05-31
61,20,2,3,LOT-2026-0061,160,2027-10-07,2026-01-09
62,20,4,3,LOT-2025-0062,79,2026-09-13,2025-09-07
63,21,5,2,LOT-2025-0063,50,2026-09-24,2025-04-12
64,21,4,2,LOT-2025-0064,80,2027-02-10,2025-10-16
65,22,5,2,LOT-2025-0065,133,2027-04-04,2025-11-02
66,22,2,2,LOT-2025-0066,132,2026-10-09,2025-05-10
67,22,4,2,LOT-2025-0067,111,2027-08-18,2025-11-17
68,23,1,2,LOT-2025-0068,53,2026-01-31,2025-07-13
69,23,4,2,LOT-2025-0069,23,2026-09-23,2025-04-01
70,24,1,2,LOT-2025-0070,153,2027-07-24,2025-09-24
71,24,2,2,LOT-2025-0071,92,2026-07-07,2025-02-04
72,24,4,2,LOT-2025-0072,154,2025-08-29,2025-01-18
73,25,4,2,LOT-2025-0073,131,2027-07-21,2025-12-17
74,25,2,2,LOT-2025-0074,121,2026-08-10,2025-01-18
75,25,5,2,LOT-2025-0075,95,2027-01-03,2025-06-17
76,25,1,2,LOT-2025-0076,173,2026-07-06,2025-03-12
77,26,3,2,LOT-2025-0077,106,2026-05-31,2025-07-22
78,26,5,2,LOT-2025-0078,91,2027-06-20,2025-08-08
79,27,5,2,LOT-2026-0079,53,2027-11-17,2026-01-01
80,27,1,2,LOT-2025-0080,199,2027-02-23,2025-09-15
81,28,5,2,LOT-2025-0081,189,2026-12-31,2025-11-17
82,28,2,2,LOT-2025-0082,184,2026-06-14,2025-10-27
83,28,4,2,LOT-2025-0083,31,2025-09-30,2025-03-11
84,29,5,2,LOT-2025-0084,98,2026-06-24,2025-06-28
85,29,3,2,LOT-2025-0085,48,2027-03-05,2025-10-24
86,29,1,2,LOT-2025-0086,162,2027-11-19,2025-12-11
87,30,5,2,LOT-2025-0087,45,2026-05-05,2025-03-21
88,30,1,2,LOT-2025-0088,162,2026-04-16,2025-04-06
89,30,2,2,LOT-2025-0089,61,2027-06-16,2025-12-26
90,31,1,4,LOT-2025-0090,47,2026-02-01,2025-07-23
91,31,3,4,LOT-2025-0091,195,2026-08-04,2025-12-28
92,32,2,4,LOT-2025-0092,151,2027-03-29,2025-04-14
93,32,5,4,LOT-2025-0093,80,2027-08-17,2025-11-27
94,32,4,4,LOT-2025-0094,74,2026-03-31,2025-04-24
95,32,3,4,LOT-2025-0095,143,2027-07-09,2025-12-13
96,33,1,4,LOT-2025-0096,62,2027-01-04,2025-05-07
97,33,2,4,LOT-2025-0097,130,2027-04-16,2025-10-29
98,33,5,4,LOT-2025-0098,89,2026-05-26,2025-03-25
99,33,3,4,LOT-2025-0099,141,2026-07-18,2025-07-31
100,34,1,4,LOT-2026-0100,111,2027-01-30,2026-01-12
101,34,4,4,LOT-2025-0101,96,2027-07-20,2025-10-07
102,34,5,4,LOT-2025-0102,140,2027-02-20,2025-10-13
103,34,3,4,LOT-2025-0103,80,2026-09-05,2025-10-21
104,35,3,4,LOT-2025-0104,144,2027-05-03,2025-05-16
105,35,2,4,LOT-2025-0105,149,2026-12-29,2025-05-23
106,35,4,4,LOT-2025-0106,76,2025-09-22,2025-01-15
107,35,1,4,LOT-2025-0107,48,2026-11-17,2025-09-05
108,36,3,4,LOT-2025-0108,128,2027-10-12,2025-10-16
109,36,5,4,LOT-2025-0109,103,2025-11-26,2025-01-05
110,36,2,4,LOT-2025-0110,36,2026-07-05,2025-05-18
111,36,4,4,LOT-2025-0111,24,2026-03-02,2025-05-29
112,37,2,4,LOT-2025-0112,89,2027-06-24,2025-07-21
113,37,5,4,LOT-2025-0113,71,2026-02-23,2025-08-16
114,37,4,4,LOT-2025-0114,115,2026-08-03,2025-07-15
115,37,1,4,LOT-2026-0115,54,2027-09-21,2026-01-04
116,38,1,4,LOT-2025-0116,52,2027-05-13,2025-11-30
117,38,5,4,LOT-2025-0117,101,2026-11-29,2025-09-27
118,38,4,4,LOT-2025-0118,61,2026-08-01,2025-06-19
119,38,2,4,LOT-2025-0119,98,2026-12-04,2025-05-30
120,39,4,4,LOT-2025-0120,28,2026-11-23,2025-08-14
121,39,5,4,LOT-2025-0121,121,2026-12-24,2025-11-01
122,40,5,4,LOT-2025-0122,126,2027-05-03,2025-09-04
123,40,3,4,LOT-2025-0123,195,2027-02-27,2025-06-28
124,40,4,4,LOT-2026-0124,161,2026-10-02,2026-01-01
125,40,1,4,LOT-2025-0125,200,2027-07-09,2025-07-09
126,41,1,5,LOT-2025-0126,106,2027-08-13,2025-09-29
127,41,5,5,LOT-2026-0127,90,2027-07-15,2026-02-02
128,41,4,5,LOT-2025-0128,56,2025-12-19,2025-02-25
129,41,3,5,LOT-2025-0129,68,2026-02-28,2025-06-16
130,42,2,5,LOT-2025-0130,197,2026-09-07,2025-01-05
131,42,4,5,LOT-2025-0131,171,2027-05-29,2025-10-08
132,42,1,5,LOT-2026-0132,198,2027-02-23,2026-01-08
133,42,5,5,LOT-2025-0133,24,2027-10-21,2025-11-21
134,43,1,5,LOT-2025-0134,163,2026-04-29,2025-03-11
135,43,5,5,LOT-2026-0135,102,2026-08-09,2026-01-11
136,43,3,5,LOT-2025-0136,85,2026-08-28,2025-03-16
137,43,4,5,LOT-2025-0137,136,2026-10-14,2025-01-10
