id,contact_id,outreach_datetime,outreach_medium,rep_id,notes
1,1,2025-10-03 09:15:00,Call,1,Left voicemail - introduced Inzollo product line
2,1,2025-10-17 14:30:00,Email,1,Sent product catalog and pricing sheet
3,2,2025-10-22 10:00:00,Call,2,Spoke with buyer - interested in tobacco category
4,2,2025-11-05 11:45:00,Call,2,Follow up - discussed MOQ requirements
5,4,2025-10-08 13:00:00,Email,1,Sent intro letter and product overview
6,4,2025-11-12 09:30:00,Call,1,No answer - left voicemail
7,5,2025-11-19 15:00:00,Call,2,Spoke with category manager - needs sample kit
8,5,2025-12-03 10:15:00,Email,2,Sent sample kit follow-up and pricing
9,6,2025-10-14 08:45:00,Call,3,Reached owner - interested in snack line
10,6,2025-10-28 13:30:00,Email,3,Sent product catalog per request
11,7,2025-11-07 11:00:00,Call,3,Discussed new SKU availability with buyer
12,7,2025-11-21 14:00:00,Email,3,Sent updated price list
13,8,2025-10-10 09:00:00,Email,1,Initial outreach - introduced brand
14,8,2025-11-15 10:30:00,Call,1,Spoke briefly - requested more info on tobacco line
15,10,2025-10-06 14:15:00,Call,2,Left voicemail for purchasing manager
16,10,2025-10-20 11:00:00,Email,2,Sent intro email with product highlights
17,12,2025-10-09 09:30:00,Call,3,Spoke with owner - large tobacco buyer - very interested
18,12,2025-10-23 13:00:00,Email,3,Sent pricing and MOQ details as requested
19,12,2025-11-06 10:45:00,Call,3,Follow up call - moving toward decision
20,13,2025-11-14 15:30:00,Call,1,Spoke with VP - interested in full line review
21,14,2025-10-15 09:00:00,Call,2,Introduced brand - owner took the call
22,14,2025-10-29 11:30:00,Email,2,Sent catalog - owner requested samples
23,14,2025-11-12 14:00:00,Call,2,Sample review call - positive feedback
24,15,2025-12-01 10:00:00,Email,3,Sent intro letter to purchasing department
25,16,2025-10-11 13:45:00,Call,1,Left voicemail - no response yet
26,18,2025-10-18 09:15:00,Email,1,Sent intro email to AWG buyer
27,18,2025-11-03 14:30:00,Call,1,Spoke with buyer - grocery focus only for now
28,19,2025-11-22 10:00:00,Call,2,Reached general manager - promising conversation
29,22,2025-10-07 11:00:00,Email,3,Initial outreach email sent
30,22,2025-10-21 09:30:00,Call,3,Left voicemail with tobacco specialist
31,24,2025-11-04 13:00:00,Call,1,Spoke with buyer - interested in snack and beverage line
32,25,2025-10-13 14:00:00,Letter,2,Sent intro letter to Michigan distributor
33,27,2025-11-08 09:00:00,Call,3,Left voicemail for tobacco owner
34,27,2025-11-25 10:30:00,Call,3,Spoke with owner - wants exclusive territory discussion
