company_id,category_id
1,1
1,5
1,6
1,4
2,1
2,5
2,6
2,4
3,1
3,5
3,4
4,4
4,5
4,6
5,1
5,6
5,5
6,4
6,5
6,8
7,1
7,5
7,4
8,9
8,5
8,6
9,1
9,5
9,6
10,3
10,10
10,2
11,4
11,5
11,8
12,4
12,5
12,1
13,1
13,5
13,8
14,4
15,5
15,8
15,1
16,4
16,5
16,8
17,1
17,5
17,8
18,1
18,5
18,4
19,1
19,5
19,6
20,9
20,5
20,6
21,1
21,5
21,7
22,1
22,5
22,6
23,1
23,8
23,5
24,6
24,5
24,1
25,6
25,1
26,4
26,8
27,1
27,9
27,5
28,1
28,5
28,4
29,1
29,5
30,8
30,5
31,9
31,5
31,6
32,1
32,8
33,1
33,5
33,8
34,1
34,5
34,8
35,4
36,1
36,5
36,8
37,1
37,9
38,1
38,6
39,8
39,5
40,1
40,5
41,1
41,8
41,5
42,1
42,5
43,4
43,5
44,1
44,5
44,8
45,1
45,5
46,1
46,5
46,7
47,4
47,5
47,6
48,4
48,5
49,4
49,5
50,4
50,5
50,6
