id,name,product_category_two_id
1,Milk Chocolate,1
2,Dark Chocolate,1
3,White Chocolate,1
4,Gummy Bears,2
5,Sour Candy,2
6,Taffy,2
7,Mints,3
8,Lollipops,3
9,Jawbreakers,3
10,Potato Chips,4
11,Tortilla Chips,4
12,Puffed Snacks,4
13,Peanuts,5
14,Sunflower Seeds,5
15,Trail Mix,5
16,Beef Jerky,6
17,Meat Sticks,6
18,Pork Rinds,6
19,Regular,7
20,Sugar-Free,7
21,Shots,7
22,Cola,8
23,Citrus,8
24,Root Beer,8
25,Spring Water,9
26,Flavored Water,9
27,Sports Drinks,9
28,Swishers,10
29,Dutch,10
30,Backwoods,10
31,Standard,11
32,Cones,11
33,Wraps,11
34,Disposable,12
35,Pods,12
36,E-Liquid,12
37,Pain Relief,13
38,Cold & Flu,13
39,Digestive,13
40,Oral Care,14
41,Lip Care,14
42,Hand Sanitizer,14
43,Plastic Bags,15
44,Paper Bags,15
45,Zip Lock,15
46,Aluminum Foil,16
47,Plastic Wrap,16
48,Wax Paper,16
49,Paper Cups,17
50,Foam Cups,17
51,Paper Plates,17
