id,product_id,price_category_id,min_quantity,max_quantity,unit_price
1,1,1,1,,1.99
2,1,2,1,,1.29
3,1,3,1,,1.09
4,2,1,1,,2.19
5,2,2,1,,1.42
6,2,3,1,,1.2
7,3,1,1,,2.49
8,3,2,1,,1.62
9,3,3,1,,1.37
10,4,1,1,,2.09
11,4,2,1,,1.36
12,4,3,1,,1.15
13,5,1,1,,1.99
14,5,2,1,,1.29
15,5,3,1,,1.09
16,6,1,1,,3.29
17,6,2,1,,2.14
18,6,3,1,,1.81
19,7,1,1,,2.79
20,7,2,1,,1.81
21,7,3,1,,1.53
22,8,1,1,,1.99
23,8,2,1,,1.29
24,8,3,1,,1.09
25,9,1,1,,2.29
26,9,2,1,,1.49
27,9,3,1,,1.26
28,10,1,1,,1.99
29,10,2,1,,1.29
30,10,3,1,,1.09
31,11,1,1,,2.49
32,11,2,1,,1.62
33,11,3,1,,1.37
34,12,1,1,,2.49
35,12,2,1,,1.62
36,12,3,1,,1.37
37,13,1,1,,2.69
38,13,2,1,,1.75
39,13,3,1,,1.48
40,14,1,1,,2.99
41,14,2,1,,1.94
42,14,3,1,,1.64
43,15,1,1,,3.49
44,15,2,1,,2.27
45,15,3,1,,1.92
46,16,1,1,,7.99
47,16,2,1,,5.19
48,16,3,1,,4.39
49,17,1,1,,1.79
50,17,2,1,,1.16
51,17,3,1,,0.98
52,18,1,1,,2.49
53,18,2,1,,1.62
54,18,3,1,,1.37
55,19,1,1,,2.49
56,19,2,1,,1.62
57,19,3,1,,1.37
58,20,1,1,,2.69
59,20,2,1,,1.75
60,20,3,1,,1.48
61,21,1,1,,3.49
62,21,2,1,,2.27
63,21,3,1,,1.92
64,22,1,1,,3.29
65,22,2,1,,2.14
66,22,3,1,,1.81
67,23,1,1,,2.29
68,23,2,1,,1.49
69,23,3,1,,1.26
70,24,1,1,,2.29
71,24,2,1,,1.49
72,24,3,1,,1.26
73,25,1,1,,2.49
74,25,2,1,,1.62
75,25,3,1,,1.37
76,26,1,1,,3.49
77,26,2,1,,2.27
78,26,3,1,,1.92
79,27,1,1,,3.29
80,27,2,1,,2.14
81,27,3,1,,1.81
82,28,1,1,,2.29
83,28,2,1,,1.49
84,28,3,1,,1.26
85,29,1,1,,2.49
86,29,2,1,,1.62
87,29,3,1,,1.37
88,30,1,1,,3.49
89,30,2,1,,2.27
90,30,3,1,,1.92
91,31,1,1,,1.99
92,31,2,1,,1.29
93,31,3,1,,1.09
94,32,1,1,,2.49
95,32,2,1,,1.62
96,32,3,1,,1.37
97,33,1,1,,2.99
98,33,2,1,,1.94
99,33,3,1,,1.64
100,34,1,1,,3.49
101,34,2,1,,2.27
102,34,3,1,,1.92
103,35,1,1,,1.99
104,35,2,1,,1.29
105,35,3,1,,1.09
106,36,1,1,,2.49
107,36,2,1,,1.62
108,36,3,1,,1.37
109,37,1,1,,8.99
110,37,2,1,,5.84
111,37,3,1,,4.94
112,38,1,1,,1.99
113,38,2,1,,1.29
114,38,3,1,,1.09
115,39,1,1,,1.99
116,39,2,1,,1.29
117,39,3,1,,1.09
118,40,1,1,,2.49
119,40,2,1,,1.62
120,40,3,1,,1.37
121,41,1,1,,1.29
122,41,2,1,,0.84
123,41,3,1,,0.71
124,42,1,1,,1.49
125,42,2,1,,0.97
126,42,3,1,,0.82
127,43,1,1,,1.99
128,43,2,1,,1.29
129,43,3,1,,1.09
130,44,1,1,,1.79
131,44,2,1,,1.16
132,44,3,1,,0.98
133,45,1,1,,3.49
134,45,2,1,,2.27
135,45,3,1,,1.92
136,46,1,1,,4.99
137,46,2,1,,3.24
138,46,3,1,,2.74
139,47,1,1,,4.49
140,47,2,1,,2.92
141,47,3,1,,2.47
142,48,1,1,,3.99
143,48,2,1,,2.59
144,48,3,1,,2.19
145,49,1,1,,5.99
146,49,2,1,,3.89
147,49,3,1,,3.29
148,50,1,1,,5.49
149,50,2,1,,3.57
150,50,3,1,,3.02
151,51,1,1,,2.49
152,51,2,1,,1.62
153,51,3,1,,1.37
154,52,1,1,,3.29
155,52,2,1,,2.14
156,52,3,1,,1.81
157,53,1,1,,2.29
158,53,2,1,,1.49
159,53,3,1,,1.26
160,54,1,1,,2.79
161,54,2,1,,1.81
162,54,3,1,,1.53
163,55,1,1,,3.19
164,55,2,1,,2.07
165,55,3,1,,1.75
166,56,1,1,,2.29
167,56,2,1,,1.49
168,56,3,1,,1.26
169,57,1,1,,2.49
170,57,2,1,,1.62
171,57,3,1,,1.37
172,58,1,1,,3.49
173,58,2,1,,2.27
174,58,3,1,,1.92
175,59,1,1,,2.99
176,59,2,1,,1.94
177,59,3,1,,1.64
178,60,1,1,,7.99
179,60,2,1,,5.19
180,60,3,1,,4.39
181,61,1,1,,1.99
182,61,2,1,,1.29
183,61,3,1,,1.09
184,62,1,1,,4.49
185,62,2,1,,2.92
186,62,3,1,,2.47
187,63,1,1,,3.49
188,63,2,1,,2.27
189,63,3,1,,1.92
190,64,1,1,,4.49
191,64,2,1,,2.92
192,64,3,1,,2.47
193,65,1,1,,3.29
194,65,2,1,,2.14
195,65,3,1,,1.81
196,66,1,1,,2.79
197,66,2,1,,1.81
198,66,3,1,,1.53
199,67,1,1,,2.09
200,67,2,1,,1.36
201,67,3,1,,1.15
202,68,1,1,,2.19
203,68,2,1,,1.42
204,68,3,1,,1.2
205,69,1,1,,3.49
206,69,2,1,,2.27
207,69,3,1,,1.92
208,70,1,1,,3.29
209,70,2,1,,2.14
210,70,3,1,,1.81
211,71,1,1,,1.99
212,71,2,1,,1.29
213,71,3,1,,1.09
214,72,1,1,,3.49
215,72,2,1,,2.27
216,72,3,1,,1.92
217,73,1,1,,4.29
218,73,2,1,,2.79
219,73,3,1,,2.36
220,74,1,1,,3.99
221,74,2,1,,2.59
222,74,3,1,,2.19
223,75,1,1,,1.99
224,75,2,1,,1.29
225,75,3,1,,1.09
