id,sku,name,description,frontend_name,upc,flavour,size,weight,supply_price,retail_price,is_active,new_arrival,image_url,inventory_level,track_inventory,reorder_quantity,reorder_point,brand_id,supplier_id,product_category_one_id,product_category_two_id,product_category_three_id
1,CND-001,100 Grand Bar,100 Grand Bar - Crispy Caramel 1.5 oz,100 Grand Bar,976975704983,Crispy Caramel,1.5 oz,1.5,0.79,1.99,true,false,,229,true,24,12,1,1,1,1,1
2,CND-002,Snickers Original,Snickers Original - Peanut Caramel 1.86 oz,Snickers Original,690261401000,Peanut Caramel,1.86 oz,1.86,0.85,2.19,true,false,,224,true,24,12,2,1,1,1,1
3,CND-003,M&M's Peanut,M&M's Peanut - Peanut 3.27 oz,M&M's Peanut,993122491040,Peanut,3.27 oz,3.27,1.2,2.49,true,false,,175,true,48,24,3,1,1,1,1
4,CND-004,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups - Peanut Butter 1.5 oz,Reese's Peanut Butter Cups,181044195276,Peanut Butter,1.5 oz,1.5,0.82,2.09,true,false,,225,true,96,12,4,1,1,1,1
5,CND-005,Kit Kat Wafer Bar,Kit Kat Wafer Bar - Milk Chocolate 1.5 oz,Kit Kat Wafer Bar,495288795222,Milk Chocolate,1.5 oz,1.5,0.78,1.99,true,false,,163,true,48,24,5,1,1,1,1
6,CND-006,Haribo Gold-Bears,Haribo Gold-Bears - Assorted Fruit 5 oz,Haribo Gold-Bears,944827576906,Assorted Fruit,5 oz,5.0,1.5,3.29,true,false,,495,true,72,36,38,1,1,2,4
7,CND-007,Sour Patch Kids,Sour Patch Kids - Assorted Sour 3.5 oz,Sour Patch Kids,368899360774,Assorted Sour,3.5 oz,3.5,1.25,2.79,true,false,,202,true,96,24,39,1,1,2,5
8,CND-008,Skittles Original,Skittles Original - Original Fruit 2.17 oz,Skittles Original,598797399703,Original Fruit,2.17 oz,2.17,0.9,1.99,true,false,,381,true,96,36,40,1,1,2,4
9,CND-009,Snickers Dark Chocolate,Snickers Dark Chocolate - Dark Chocolate Peanut 1.86 oz,Snickers Dark Chocolate,723268058973,Dark Chocolate Peanut,1.86 oz,1.86,0.89,2.29,true,false,,482,true,24,12,2,1,1,1,2
10,CND-010,M&M's Plain,M&M's Plain - Milk Chocolate 1.69 oz,M&M's Plain,644043403025,Milk Chocolate,1.69 oz,1.69,0.95,1.99,true,false,,94,true,24,24,3,1,1,1,1
11,SNK-001,Doritos Nacho Cheese,Doritos Nacho Cheese - Nacho Cheese 2.75 oz,Doritos Nacho Cheese,849079940670,Nacho Cheese,2.75 oz,2.75,1.1,2.49,true,false,,60,true,96,36,6,3,2,4,8
12,SNK-002,Lay's Classic,Lay's Classic - Classic 2.625 oz,Lay's Classic,177008660885,Classic,2.625 oz,2.625,1.05,2.49,true,false,,161,true,96,12,7,3,2,4,7
13,SNK-003,Cheetos Crunchy,Cheetos Crunchy - Original 3.25 oz,Cheetos Crunchy,281358538510,Original,3.25 oz,3.25,1.15,2.69,true,false,,252,true,72,24,8,3,2,4,9
14,SNK-004,Takis Fuego,Takis Fuego - Hot Chili Lime 4 oz,Takis Fuego,925005113641,Hot Chili Lime,4 oz,4.0,1.3,2.99,true,true,,422,true,96,12,9,3,2,4,8
15,SNK-005,Pringles Original,Pringles Original - Original 5.5 oz,Pringles Original,818469002978,Original,5.5 oz,5.5,1.65,3.49,true,true,,271,true,24,36,10,3,2,4,7
16,SNK-006,Jack Link's Original Jerky,Jack Link's Original Jerky - Original 2.85 oz,Jack Link's Original Jerky,737160986000,Original,2.85 oz,2.85,3.5,7.99,true,true,,198,true,24,36,36,3,2,6,16
17,SNK-007,Slim Jim Giant,Slim Jim Giant - Original 0.97 oz,Slim Jim Giant,451670914012,Original,0.97 oz,0.97,0.75,1.79,true,false,,58,true,72,24,37,3,2,6,17
18,SNK-008,Doritos Cool Ranch,Doritos Cool Ranch - Cool Ranch 2.75 oz,Doritos Cool Ranch,629096725123,Cool Ranch,2.75 oz,2.75,1.1,2.49,true,false,,139,true,96,24,6,3,2,4,8
19,SNK-009,Lay's BBQ,Lay's BBQ - BBQ 2.625 oz,Lay's BBQ,243359460240,BBQ,2.625 oz,2.625,1.05,2.49,true,false,,346,true,72,12,7,3,2,4,7
20,SNK-010,Cheetos Flamin' Hot,Cheetos Flamin' Hot - Flamin' Hot 3.25 oz,Cheetos Flamin' Hot,765985854836,Flamin' Hot,3.25 oz,3.25,1.15,2.69,true,false,,120,true,48,36,8,3,2,4,9
21,BEV-001,Red Bull Original 8.4oz,Red Bull Original 8.4oz - Original 8.4 oz,Red Bull Original 8.4oz,918007229677,Original,8.4 oz,8.4,1.8,3.49,true,false,,203,true,24,24,11,2,3,7,19
22,BEV-002,Monster Energy Original,Monster Energy Original - Original 16 oz,Monster Energy Original,949890098304,Original,16 oz,16.0,1.6,3.29,true,false,,129,true,96,12,12,2,3,7,19
23,BEV-003,Coca-Cola Classic 20oz,Coca-Cola Classic 20oz - Classic 20 oz,Coca-Cola Classic 20oz,148425596663,Classic,20 oz,20.0,0.95,2.29,true,false,,81,true,72,36,13,2,3,8,22
24,BEV-004,Pepsi 20oz,Pepsi 20oz - Original 20 oz,Pepsi 20oz,411483890510,Original,20 oz,20.0,0.95,2.29,true,false,,195,true,96,12,14,2,3,8,22
25,BEV-005,Gatorade Lemon-Lime 20oz,Gatorade Lemon-Lime 20oz - Lemon-Lime 20 oz,Gatorade Lemon-Lime 20oz,885574016315,Lemon-Lime,20 oz,20.0,1.05,2.49,true,false,,211,true,96,12,15,2,3,9,27
26,BEV-006,Red Bull Sugar Free 8.4oz,Red Bull Sugar Free 8.4oz - Sugar Free 8.4 oz,Red Bull Sugar Free 8.4oz,611880136042,Sugar Free,8.4 oz,8.4,1.8,3.49,true,false,,423,true,48,12,11,2,3,7,20
27,BEV-007,Monster Zero Ultra,Monster Zero Ultra - Zero Ultra 16 oz,Monster Zero Ultra,012320581630,Zero Ultra,16 oz,16.0,1.6,3.29,true,true,,306,true,24,24,12,2,3,7,20
28,BEV-008,Coca-Cola Zero 20oz,Coca-Cola Zero 20oz - Zero Sugar 20 oz,Coca-Cola Zero 20oz,654909174122,Zero Sugar,20 oz,20.0,0.95,2.29,true,false,,233,true,48,24,13,2,3,8,22
29,BEV-009,Gatorade Fruit Punch 20oz,Gatorade Fruit Punch 20oz - Fruit Punch 20 oz,Gatorade Fruit Punch 20oz,535088707959,Fruit Punch,20 oz,20.0,1.05,2.49,true,false,,260,true,96,24,15,2,3,9,27
30,BEV-010,Red Bull Tropical 8.4oz,Red Bull Tropical 8.4oz - Tropical 8.4 oz,Red Bull Tropical 8.4oz,151205022206,Tropical,8.4 oz,8.4,1.8,3.49,true,false,,278,true,96,36,11,2,3,7,19
31,TOB-001,Swisher Sweets Cigarillos,Swisher Sweets Cigarillos - Original Sweet 2 pack,Swisher Sweets Cigarillos,280882587699,Original Sweet,2 pack,0.5,0.85,1.99,true,false,,486,true,24,24,17,4,4,10,28
32,TOB-002,Dutch Masters Palma,Dutch Masters Palma - Natural 2 pack,Dutch Masters Palma,871822074171,Natural,2 pack,0.5,1.1,2.49,true,false,,464,true,48,36,18,4,4,10,29
33,TOB-003,RAW Classic Papers,RAW Classic Papers -  1 1/4,RAW Classic Papers,824677925515,,1 1/4,0.1,1.2,2.99,true,false,,274,true,96,24,19,4,4,11,31
34,TOB-004,RAW Cones King Size,RAW Cones King Size -  3 pack,RAW Cones King Size,783643563880,,3 pack,0.2,1.5,3.49,true,true,,270,true,24,12,19,4,4,11,32
35,TOB-005,Swisher Sweets Grape,Swisher Sweets Grape - Grape 2 pack,Swisher Sweets Grape,072297367545,Grape,2 pack,0.5,0.85,1.99,true,false,,325,true,48,36,17,4,4,10,28
36,TOB-006,Bic Classic Lighter,Bic Classic Lighter -  1 ct,Bic Classic Lighter,458699989263,,1 ct,0.8,0.95,2.49,true,true,,137,true,24,36,16,4,4,11,33
37,TOB-007,Bic Lighter 5-Pack,Bic Lighter 5-Pack - Assorted 5 ct,Bic Lighter 5-Pack,974038312591,Assorted,5 ct,4.0,3.75,8.99,true,false,,397,true,72,24,16,4,4,11,33
38,TOB-008,RAW Tips,RAW Tips -  50 ct,RAW Tips,411812733749,,50 ct,0.2,0.75,1.99,true,true,,300,true,24,12,19,4,4,11,31
